Derating_factor_5,Derating_factor_7,Derating_factor_4,Derating_factor_2,Derating_factor_6,Derating_factor_1,Derating_factor_3,Resource
0.0,0.0,0.0,0.0,0.0,0.0,0.83,WV1_conventional_steam_coal_1
0.0,0.0,0.0,0.0,0.0,0.0,0.6,WV1_natural_gas_fired_combustion_turbine_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,WV1_onshore_wind_turbine_1
0.0,0.0,0.0,0.0,0.0,0.0,0.78,WV1_petroleum_liquids_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,WV1_solar_photovoltaic_1
0.0,0.0,0.0,0.0,0.0,0.0,0.5,WV2_biomass_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,WV2_conventional_hydroelectric_1
0.0,0.0,0.0,0.0,0.0,0.0,0.83,WV2_conventional_steam_coal_1
0.0,0.0,0.0,0.0,0.0,0.0,0.6,WV2_natural_gas_fired_combustion_turbine_1
0.8,0.0,0.0,0.0,0.0,0.0,0.0,DE1_distributed_generation_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,IL1_distributed_generation_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,KY3_distributed_generation_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,KY4_distributed_generation_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,MD1_distributed_generation_1
0.0,0.0,0.8,0.0,0.0,0.0,0.0,MD2_distributed_generation_1
0.0,0.0,0.0,0.0,0.0,0.8,0.0,MI_distributed_generation_1
0.8,0.0,0.0,0.0,0.0,0.0,0.0,NJ1_distributed_generation_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,OH1_distributed_generation_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,OH2_distributed_generation_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,OH3_distributed_generation_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,OH4_distributed_generation_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,PA1_distributed_generation_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,PA2_distributed_generation_1
0.8,0.0,0.0,0.0,0.0,0.0,0.0,PA3_distributed_generation_1
0.8,0.0,0.0,0.0,0.0,0.0,0.0,PA4_distributed_generation_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,VA1_distributed_generation_1
0.0,0.0,0.8,0.0,0.0,0.0,0.0,VA2_distributed_generation_1
0.0,0.0,0.8,0.0,0.0,0.0,0.0,VA3_distributed_generation_1
0.0,0.0,0.8,0.0,0.0,0.0,0.0,VA4_distributed_generation_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,WV1_distributed_generation_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,WV2_distributed_generation_1
