Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Cap_Size,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Min_Power,num_units,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,fixed_o_m_mw_std,capacity_factor,unmodified_cap_size,Start_Fuel_MMBTU_per_MW,Fuel,Start_Cost_per_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Reg_Max,Rsv_Max,gen_energy_source,gen_is_baseload,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_type,Model
PA3_natural_gas_fired_combustion_turbine_1,15,0,0,88.0,PA3,Natural Gas Fired Combustion Turbine,1,44.0,4.0,10.2,14960,0.0,0.3,2.0,0.0,0.0,0.0,1.0,44.0,3.5,middle_atlantic_naturalgas,62.0,3.78,3.78,1,1,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
PA4_conventional_steam_coal_1,16,0,0,5809.9,PA4,Conventional Steam Coal,1,341.76,146.588,11.0,59410,1.78,0.5,17.0,3.524,2.65,6410.605,1.0,341.759,16.5,middle_atlantic_coal,110.0,0.57,0.57,24,24,0.095,0.19,Coal,True,0.0,0.0,Coal,1
PA4_natural_gas_fired_combined_cycle_1,16,0,0,6261.0,PA4,Natural Gas Fired Combined Cycle,1,695.67,344.889,6.53,11985,3.44,0.3,9.0,0.043,0.107,2034.607,1.0,695.667,2.0,middle_atlantic_naturalgas,88.0,0.64,0.64,6,6,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
PA4_natural_gas_fired_combined_cycle_2,16,0,0,10068.2,PA4,Natural Gas Fired Combined Cycle,2,592.25,273.565,7.21,10283,3.41,0.3,17.0,0.805,0.586,1762.406,1.0,592.247,2.0,middle_atlantic_naturalgas,88.0,0.64,0.64,6,6,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
PA4_natural_gas_fired_combustion_turbine_1,16,0,0,775.0,PA4,Natural Gas Fired Combustion Turbine,1,45.59,18.882,17.18,13306,0.0,0.3,17.0,10.154,6.182,1200.272,1.0,45.588,3.5,middle_atlantic_naturalgas,62.0,3.78,3.78,1,1,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
PA4_natural_gas_steam_turbine_1,16,0,0,2666.3,PA4,Natural Gas Steam Turbine,1,266.63,59.5,13.73,29548,1.0,0.5,10.0,5.456,3.775,10449.822,1.0,266.63,13.7,middle_atlantic_naturalgas,78.0,0.64,0.64,6,6,0.63,1.26,Naturalgas,False,0.0,0.0,Naturalgas,1
PA4_nuclear_1,16,0,0,7557.0,PA4,Nuclear,1,1259.5,113.85,10.34,177000,0.0,0.5,6.0,0.0,0.427,52159.097,1.0,1259.5,0.0,middle_atlantic_uranium,0.0,0.25,0.25,24,24,0.041666667,0.083333333,Uranium,True,0.0,0.0,Nuclear,1
PA4_petroleum_liquids_1,16,0,0,1543.1,PA4,Petroleum Liquids,1,20.85,7.196,17.36,0,0.0,0.18,74.0,5.753,6.708,0.0,1.0,20.853,0.0,middle_atlantic_distillate,0.0,3.78,3.78,1,1,0.0,0.0,Diesel,False,0.0,0.0,Petroleum,1
VA1_conventional_steam_coal_1,17,0,0,624.0,VA1,Conventional Steam Coal,1,624.0,295.0,14.5,57994,1.78,0.5,1.0,0.0,0.0,0.0,1.0,624.0,16.5,south_atlantic_coal,110.0,0.57,0.57,24,24,0.095,0.19,Coal,True,0.0,0.0,Coal,1
VA1_natural_gas_fired_combustion_turbine_1,17,0,0,371.0,VA1,Natural Gas Fired Combustion Turbine,1,53.0,19.0,11.04,13154,0.0,0.3,7.0,0.509,0.497,1146.683,1.0,53.0,3.5,south_atlantic_naturalgas,62.0,3.78,3.78,1,1,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
VA1_natural_gas_steam_turbine_1,17,0,0,470.0,VA1,Natural Gas Steam Turbine,1,235.0,60.0,12.19,48590,1.0,0.5,2.0,0.0,1.256,0.0,1.0,235.0,13.7,south_atlantic_naturalgas,78.0,0.64,0.64,6,6,0.63,1.26,Naturalgas,False,0.0,0.0,Naturalgas,1
VA1_petroleum_liquids_1,17,0,0,9.5,VA1,Petroleum Liquids,1,1.58,0.65,9.49,0,0.0,0.18,6.0,0.29,0.333,0.0,1.0,1.583,0.0,south_atlantic_distillate,0.0,3.78,3.78,1,1,0.0,0.0,Diesel,False,0.0,0.0,Petroleum,1
VA2_conventional_steam_coal_1,18,0,0,881.0,VA2,Conventional Steam Coal,1,440.5,130.0,11.99,60073,1.78,0.5,2.0,2.451,1.685,1076.256,1.0,440.5,16.5,south_atlantic_coal,110.0,0.57,0.57,24,24,0.095,0.19,Coal,True,0.0,0.0,Coal,1
VA2_natural_gas_fired_combined_cycle_1,18,0,0,6969.3,VA2,Natural Gas Fired Combined Cycle,1,871.16,298.825,7.06,10714,3.39,0.3,8.0,0.5,0.74,1247.293,1.0,871.162,2.0,south_atlantic_naturalgas,88.0,0.64,0.64,6,6,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
VA2_natural_gas_fired_combined_cycle_2,18,0,0,1033.0,VA2,Natural Gas Fired Combined Cycle,2,206.6,110.2,8.08,15620,4.31,0.3,5.0,0.743,0.666,0.0,1.0,206.6,2.0,south_atlantic_naturalgas,88.0,0.64,0.64,6,6,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
VA2_natural_gas_fired_combustion_turbine_1,18,0,0,4501.0,VA2,Natural Gas Fired Combustion Turbine,1,145.19,70.5,11.08,10940,0.0,0.3,31.0,1.314,0.997,710.642,1.0,145.194,3.5,south_atlantic_naturalgas,62.0,3.78,3.78,1,1,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
VA2_natural_gas_steam_turbine_1,18,0,0,55.0,VA2,Natural Gas Steam Turbine,1,27.5,5.0,11.66,48590,1.0,0.5,2.0,1.227,1.197,0.0,1.0,27.5,13.7,south_atlantic_naturalgas,78.0,0.64,0.64,6,6,0.63,1.26,Naturalgas,False,0.0,0.0,Naturalgas,1
VA2_nuclear_1,18,0,0,3708.0,VA2,Nuclear,1,927.0,187.0,10.34,177000,0.0,0.5,4.0,0.0,0.0,0.0,1.0,927.0,0.0,south_atlantic_uranium,0.0,0.25,0.25,24,24,0.041666667,0.083333333,Uranium,True,0.0,0.0,Nuclear,1
VA2_petroleum_liquids_1,18,0,0,440.1,VA2,Petroleum Liquids,1,6.03,1.007,15.64,0,0.0,0.18,73.0,5.12,3.145,0.0,1.0,6.029,0.0,south_atlantic_distillate,0.0,3.78,3.78,1,1,0.0,0.0,Diesel,False,0.0,0.0,Petroleum,1
VA3_natural_gas_fired_combined_cycle_1,19,0,0,1472.2,VA3,Natural Gas Fired Combined Cycle,1,1472.2,579.0,6.84,11680,3.37,0.3,1.0,0.0,0.0,0.0,1.0,1472.2,2.0,south_atlantic_naturalgas,88.0,0.64,0.64,6,6,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
VA3_natural_gas_fired_combustion_turbine_1,19,0,0,0.0,VA3,Natural Gas Fired Combustion Turbine,1,1.0,0.0,9.66,14960,0.0,0.3,1.0,0.0,0.0,0.0,1.0,0.0,3.5,south_atlantic_naturalgas,62.0,3.78,3.78,1,1,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
VA4_petroleum_liquids_1,20,0,0,400.0,VA4,Petroleum Liquids,1,18.18,12.968,10.92,0,0.0,0.18,22.0,0.308,1.885,0.0,1.0,18.182,0.0,south_atlantic_distillate,0.0,3.78,3.78,1,1,0.0,0.0,Diesel,False,0.0,0.0,Petroleum,1
WV1_conventional_steam_coal_1,21,0,0,8408.0,WV1,Conventional Steam Coal,1,600.57,291.929,10.3,57733,1.78,0.5,14.0,0.663,1.068,3520.88,1.0,600.571,16.5,south_atlantic_coal,110.0,0.57,0.57,24,24,0.095,0.19,Coal,True,0.0,0.0,Coal,1
WV1_natural_gas_fired_combustion_turbine_1,21,0,0,339.5,WV1,Natural Gas Fired Combustion Turbine,1,169.75,105.0,10.38,10940,0.0,0.3,2.0,0.0,0.0,0.0,1.0,169.75,3.5,south_atlantic_naturalgas,62.0,3.78,3.78,1,1,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
WV1_petroleum_liquids_1,21,0,0,15.0,WV1,Petroleum Liquids,1,15.0,5.0,11.17,0,0.0,0.18,1.0,0.0,0.0,0.0,1.0,15.0,0.0,south_atlantic_distillate,0.0,3.78,3.78,1,1,0.0,0.0,Diesel,False,0.0,0.0,Petroleum,1
WV2_conventional_steam_coal_1,22,0,0,4198.0,WV2,Conventional Steam Coal,1,1049.5,425.0,9.7,60487,1.78,0.5,4.0,0.349,0.215,2880.838,1.0,1049.5,16.5,south_atlantic_coal,110.0,0.57,0.57,24,24,0.095,0.19,Coal,True,0.0,0.0,Coal,1
WV2_natural_gas_fired_combustion_turbine_1,22,0,0,858.0,WV2,Natural Gas Fired Combustion Turbine,1,71.5,44.5,11.97,10940,0.0,0.3,12.0,0.621,0.324,0.0,1.0,71.5,3.5,south_atlantic_naturalgas,62.0,3.78,3.78,1,1,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
