Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11,Demand_MW_z12,Demand_MW_z13,Demand_MW_z14,Demand_MW_z15,Demand_MW_z16,Demand_MW_z17,Demand_MW_z18,Demand_MW_z19,Demand_MW_z20,Demand_MW_z21,Demand_MW_z22,Demand_MW_z23,Demand_MW_z24,Demand_MW_z25,Demand_MW_z26,Demand_MW_z27,thi
,,,,,,,,34,615.5887943,4748.076737,6167.80558,2433.450112,261.6771512,330.4518095,3413.418378,4962.268068,15877.31074,4215.521173,6379.022757,1047.138809,2588.565583,3275.285548,731.0272653,1195.564228,1606.472263,188.1901285,111.4972615,5688.955546,27432.32845,1159.046474,8155.454413,259.6677905,51.50170295,926.3679262,732.3251463,43.6568
,,,,,,,,35,612.1549679,4792.994208,6216.093412,2433.399624,261.6452738,327.7401511,3384.647641,4945.606128,15982.28364,4169.966205,6392.757233,1049.391849,2552.433289,3229.694896,720.8117568,1178.871478,1585.026401,185.6741556,110.0061681,5613.033823,27653.80219,1149.122131,8044.644073,256.1349633,50.79619339,916.4109765,724.4525202,43.4768
,,,,,,,,36,608.7282969,4804.741841,6233.527882,2432.596106,261.5418544,324.7697494,3356.430689,4920.650899,16021.09095,4126.133839,6383.059853,1047.801859,2526.369944,3196.761539,713.4532263,1166.829948,1568.14046,183.6962882,108.8389191,5553.232958,27835.2122,1139.53577,7974.047603,253.8931862,50.35759252,908.0119078,717.8115857,43.7468
,,,,,,,,37,611.7778543,4830.585113,6267.36701,2454.275214,263.8544561,325.3173123,3364.103258,4931.539876,16118.77246,4128.105766,6398.788662,1050.384103,2529.466986,3200.730911,714.3260479,1168.267553,1569.337428,183.8348327,108.9189442,5557.471509,28230.49383,1143.393969,8003.986946,254.8485592,50.54826497,910.2452927,719.5732795,43.932198
,,,,,,,,38,621.2533133,4884.260793,6353.417143,2495.283495,268.2544264,329.8357737,3410.195642,4992.326364,16304.0561,4182.865005,6486.878929,1064.84352,2554.70867,3232.67704,721.4539597,1179.923464,1584.133546,185.5751567,109.9541948,5609.882794,28877.66195,1160.204175,8117.031712,258.4422583,51.2589057,919.4649775,726.8701732,45.0122
,,,,,,,,39,609.7972064,4775.965559,6228.875471,2445.730139,262.9124282,323.5688564,3343.928026,4876.939894,15946.85535,4102.217857,6347.259346,1041.926924,2489.242044,3149.868987,702.9744443,1149.691928,1546.928182,181.213827,107.3669882,5478.164053,28546.95259,1137.924053,7956.815279,253.3398541,50.24618592,896.5227835,708.7270251,46.4468
,,,,,,,,40,611.9093031,4759.832442,6197.227986,2444.580456,262.7872875,324.8497492,3356.202002,4841.96489,15893.76712,4114.660553,6327.044079,1038.601883,2481.897756,3140.666384,700.8965644,1146.293072,1549.692454,181.5344621,107.5567056,5487.937869,28685.57291,1140.87625,7968.597601,253.7230305,50.31755072,896.1124347,708.4103579,48.0668
,,,,,,,,41,618.2929208,4712.801036,6209.598255,2436.650819,261.948268,328.4330143,3390.242586,4809.678807,15754.77129,4164.849611,6343.43083,1041.295087,2480.007521,3138.379343,700.3628357,1145.421571,1560.977008,182.8535213,108.3356204,5527.931108,28710.00984,1149.077247,7985.966661,254.2716772,50.42365848,897.7736367,709.7293796,49.2368
,,,,,,,,42,624.2587195,4678.725436,6309.617255,2424.205757,260.6129869,331.3275181,3416.634308,4775.879732,15625.56976,4217.827638,6375.993641,1046.639121,2480.469104,3138.966275,700.4940073,1145.637509,1569.298479,183.8273326,108.9118748,5557.420763,28647.11846,1158.224763,7983.676435,254.1950111,50.40478396,897.817211,709.7592833,50.0468
,,,,,,,,43,622.1508455,4654.366906,6442.956057,2412.16835,259.320699,331.1754817,3410.361421,4791.080855,15509.78368,4224.239015,6446.4545,1058.205458,2477.754638,3135.289008,699.720936,1144.385244,1559.936101,182.7268943,108.2621404,5524.323203,28703.70079,1156.015166,7920.765171,252.1943199,50.00379188,891.4507171,704.721763,50.8568
,,,,,,,,44,616.0981179,4648.109559,6460.247836,2405.01961,258.5297435,328.8039078,3380.831612,4830.879012,15562.18135,4210.48792,6468.110874,1061.764061,2471.471983,3127.067378,697.9425372,1141.477894,1545.082886,180.9932955,107.2304063,5471.7527,28838.03338,1146.459489,7834.763267,249.4523227,49.46077244,883.1319528,698.1292941,50.6525
,,,,,,,,45,595.3341728,4650.821315,6376.605614,2379.421055,255.7624876,318.7440271,3275.407738,4820.622996,15585.80533,4090.801594,6403.966965,1051.234539,2433.340396,3078.554139,687.1746467,1123.870028,1501.609127,175.8976677,104.2139159,5317.796001,28625.77469,1110.581556,7650.975087,243.6069138,48.30458844,863.5648856,682.6525137,50.7722
,,,,,,,,46,565.8907627,4636.461417,6274.998676,2341.029686,251.5955713,303.0784409,3115.375379,4790.587691,15585.07888,3899.660629,6279.660807,1030.828347,2357.301258,2982.109219,665.7135436,1088.753001,1435.470395,168.1575064,99.63011365,5083.526185,28453.27757,1057.157699,7437.302957,236.8038286,46.95995939,831.1820307,657.0576594,51.7622
,,,,,,,,47,544.5838724,4603.34751,6147.600872,2316.165498,248.9050819,292.1560469,3003.336694,4758.942079,15602.20111,3757.747579,6145.700891,1008.836457,2304.474812,2915.155586,650.7993372,1064.343846,1390.741523,162.9292642,96.53445625,4925.113551,28426.98409,1018.467702,7362.674096,234.4329103,46.50589055,809.7555091,640.093783,52.3022
,,,,,,,,48,533.3677179,4579.74713,5943.932068,2310.99416,248.351912,287.0658185,2950.890551,4772.97635,15685.15834,3691.465777,6024.398521,988.9264294,2296.331797,2904.842603,648.5051021,1060.578576,1378.247923,161.4752456,95.68074927,4880.810206,28192.59906,1002.520247,7447.435738,237.1371993,47.03556801,807.005268,637.9305731,52.1222
,,,,,,,,49,528.3299594,4542.964538,5667.3004,2303.733897,247.6079713,284.5581445,2926.836145,4784.419094,15626.11795,3656.092889,5860.106254,961.9532052,2307.677511,2919.35749,651.7181084,1065.810128,1384.360135,162.2049317,96.11757709,4902.405966,27548.74362,997.9998093,7588.942413,241.6458878,47.936603,814.6697434,643.9864037,54.1922
