,pjm_avg,day,thi
51895,0.0002599,2162,56.57
51896,0.0788,2162,56.2604
51897,0.2211,2162,56.170403
51898,0.2551,2162,56.147
51899,0.2615,2162,56.597
51900,0.2686,2162,56.507
51901,0.2754,2162,55.6115
51902,0.2805,2162,55.85
51903,0.2563,2162,58.197992463165
51904,0.1289,2162,60.60020413987474
51905,0.002653,2162,62.523753647784
51906,0.0,2162,63.56451524055191
51907,0.0,2162,64.4825958360556
51908,0.0,2162,64.1033186214467
51909,0.0,2162,63.82077546741208
51910,0.0,2162,62.209122192467504
51911,0.0,2162,61.641261024485
51912,0.0,2163,61.04449468718
51913,0.0,2163,60.350234319386
51914,0.0,2163,59.69586471602
51915,0.0,2163,59.45128536237415
51916,0.0,2163,59.362845804165
51917,0.0,2163,59.274404424745
51918,0.0,2163,59.00908770274
51919,4.67e-05,2163,57.586998
51920,0.05847,2163,57.136997
51921,0.1868,2163,56.759
51922,0.2317,2163,56.669
51923,0.2366,2163,56.849
51924,0.239,2163,56.939003
51925,0.2441,2163,56.939003
51926,0.248,2163,57.5915
51927,0.2196,2163,59.52373590866252
51928,0.09125,2163,62.44814355810991
51929,0.0005393,2163,64.98395573292511
51930,0.0,2163,66.93673667848999
51931,0.0,2163,68.69402865753399
51932,0.0,2163,68.52079490359
51933,0.0,2163,68.03902981563499
51934,0.0,2163,66.33817985260646
51935,0.0,2163,64.55977839776047
51936,0.0,2164,63.65221881292
51937,0.0,2164,63.06804521352
51938,0.0,2164,62.6431878178
51939,0.0,2164,62.00412414076402
51940,0.0,2164,61.79737631770946
51941,0.0,2164,61.231446947871
51942,0.0,2164,61.2785885615398
51943,0.0008073,2164,61.8750397639742
51944,0.0661,2164,61.49392681176348
51945,0.2566,2164,61.30938528692034
51946,0.342,2164,60.58091997642167
51947,0.3481,2164,59.773872103942
51948,0.3438,2164,59.082514077590005
51949,0.3613,2164,58.36028305691
51950,0.394,2164,59.108036267404
51951,0.3804,2164,60.2121961194385
51952,0.1927,2164,62.59516482833821
51953,0.00841,2164,64.9191488369025
51954,0.0,2164,66.237904857619
51955,0.0,2164,67.20586635139385
51956,0.0,2164,66.82910635943128
51957,0.0,2164,65.0025956299697
51958,0.0,2164,62.1851191679848
51959,0.0,2164,61.111328338956
51960,0.0,2165,61.199339851629006
51961,0.0,2165,61.2155088239905
51962,0.0,2165,59.58889282081855
51963,0.0,2165,59.2630078616825
51964,0.0,2165,59.2343004895382
51965,0.0,2165,58.8547943600688
51966,0.0,2165,58.470402570684
51967,0.0001286,2165,58.92891039901925
51968,0.0874,2165,58.850757278715
51969,0.2734,2165,58.78145672358
51970,0.3328,2165,57.83
51971,0.3237,2165,57.29
51972,0.3018,2165,57.3134
51973,0.2908,2165,57.7634
