date,season,thi_extreme,thi_bin,wind_profile,hour
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.786,1
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.766,2
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.7583,3
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.752,4
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.744,5
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.747,6
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.7505,7
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.7534,8
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.6416,9
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.606,10
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.663,11
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.723,12
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.778,13
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.814,14
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.8335,15
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.807,16
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.8604,17
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.8926,18
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.8965,19
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.899,20
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.8867,21
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.862,22
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.8267,23
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.778,0
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.721,1
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.6704,2
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.6206,3
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.5728,4
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.532,5
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.51,6
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.49,7
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.468,8
