date,season,thi_extreme,thi_bin,wind_profile,hour
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.5977,23
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.5854,0
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.565,1
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.544,2
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.5225,3
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.513,4
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.4976,5
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.4824,6
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.4644,7
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.455,8
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.4565,9
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.4512,10
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.4504,11
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.4224,12
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.3914,13
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.3774,14
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.3853,15
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.3965,16
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.4238,17
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.4448,18
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.501,19
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.5312,20
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.536,21
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.5156,22
2007-01-18,winter,33.1934,"(30.0, 35.0]",0.5244,23
2007-01-19,winter,38.4134,"(35.0, 40.0]",0.5337,0
2007-01-19,winter,38.4134,"(35.0, 40.0]",0.555,1
2007-01-19,winter,38.4134,"(35.0, 40.0]",0.571,2
